shot_id_number,power_of_shot,knockout_match,game_season,is_goal,area_of_shot,shot_basics,date_of_game,home/away,lat/lng,type_of_shot,type_of_combined_shot,match_id,distance_of_shot_avg,remaining_min_1
2,1.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-10-31,POR,0,shot - 45,0,20000012,35.0,10.0
3,1.0,0.0,2000-01,1.0,Left Side Center(LC),Mid Range,2000-10-31,POR,0,shot - 25,0,20000012,45.2,92.64
4,1.0,0.0,2000-01,0.0,Right Side Center(RC),Mid Range,2000-10-31,POR,0,0,shot - 3,20000012,42.0,6.0
5,2.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-10-31,POR,0,0,shot - 1,20000012,20.0,42.64
6,3.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-10-31,POR,0,shot - 17,0,20000012,34.0,9.0
7,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-10-31,POR,0,0,shot - 4,20000012,54.7,8.0
9,3.0,0.0,2000-01,1.0,Left Side(L),Goal Line,2000-10-31,POR,0,shot - 36,0,20000012,32.0,6.0
10,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-10-31,POR,0,shot - 44,0,20000012,32.0,3.0
11,3.0,0.0,2000-01,0.0,Left Side Center(LC),Penalty Spot,2000-10-31,POR,0,shot - 7,0,20000012,45.0,1.0
12,1.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-01,UTA,1,0,shot - 3,20000019,26.7,11.0
13,1.0,0.0,2000-01,1.0,Left Side(L),Goal Line,2000-11-01,UTA,1,shot - 44,0,20000019,32.0,7.0
14,1.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-01,UTA,1,0,shot - 3,20000019,29.0,2.0
15,1.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-01,UTA,1,shot - 12,0,20000019,25.0,1.0
16,1.0,0.0,2000-01,0.0,Center(C),Mid Range,2000-11-01,UTA,1,0,shot - 3,20000019,40.0,94.64
18,2.0,0.0,2000-01,1.0,Left Side Center(LC),U,2000-11-01,UTA,1,shot - 6,0,20000019,45.0,38.64
19,3.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-01,UTA,1,0,shot - 3,20000019,71.2,11.0
21,3.0,0.0,2000-01,0.0,Center(C),Mid Range,2000-11-01,UTA,1,shot - 20,0,20000019,34.0,10.0
23,3.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-01,UTA,1,shot - 44,0,20000019,31.0,7.0
24,3.0,0.0,2000-01,1.0,Left Side Center(LC),Mid Range,2000-11-01,UTA,1,0,shot - 3,20000019,38.0,5.0
25,3.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-01,UTA,1,0,shot - 3,20000019,27.0,5.0
26,3.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-01,UTA,1,0,shot - 4,20000019,20.0,93.64
27,3.0,0.0,2000-01,0.0,Center(C),Mid Range,2000-11-01,UTA,1,shot - 30,0,20000019,40.0,2.0
28,3.0,0.0,2000-01,0.0,Left Side Center(LC),Penalty Spot,2000-11-01,UTA,1,shot - 54,0,20000019,49.7,0.0
29,4.0,0.0,2000-01,0.0,Right Side Center(RC),Mid Range,2000-11-01,UTA,1,0,shot - 3,20000019,28.7,8.0
30,4.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-01,UTA,1,shot - 42,0,20000019,28.0,73.64
31,4.0,0.0,2000-01,1.0,Right Side(R),Mid Range,2000-11-01,UTA,1,shot - 44,0,20000019,32.0,1.0
32,4.0,0.0,2000-01,0.0,Right Side(R),U,2000-11-01,UTA,1,0,shot - 3,20000019,35.7,0.0
39,2.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-04,VAN,0,0,shot - 3,20000047,40.0,3.0
40,2.0,0.0,2000-01,1.0,Center(C),Penalty Spot,2000-11-04,VAN,0,0,shot - 3,20000047,47.0,75.64
41,3.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-04,VAN,0,0,shot - 3,20000047,47.7,11.0
42,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-04,VAN,0,shot - 39,0,20000047,20.0,36.64
43,3.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-04,VAN,0,0,shot - 3,20000047,40.0,101.64
44,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-04,VAN,0,0,shot - 3,20000047,25.0,8.0
46,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-04,VAN,0,shot - 39,0,20000047,20.0,40.64
47,3.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-04,VAN,0,0,shot - 1,20000047,20.0,2.0
48,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-04,VAN,0,shot - 12,0,20000047,20.0,2.0
49,4.0,0.0,2000-01,1.0,Right Side Center(RC),U,2000-11-04,VAN,0,0,shot - 3,20000047,37.0,4.0
51,4.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-04,VAN,0,shot - 39,0,20000047,62.2,1.0
52,4.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-04,VAN,0,shot - 39,0,20000047,21.0,1.0
53,1.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-05,LAC,1,shot - 25,0,20000049,27.0,10.0
