shot_id_number,power_of_shot,knockout_match,is_goal_x,home/away,type_of_shot,type_of_combined_shot,distance_of_shot_avg,remaining_min_1,opposing_team,match_id_n,area_of_shot_n,shot_basics_n,game_season_n
2,1.0,0.0,0.0,0,shot - 45,0,35.0,10.0,573.0,4.0,1117.0,3851.0,698.0
6,3.0,0.0,0.0,0,shot - 17,0,34.0,9.0,573.0,4.0,1117.0,3851.0,698.0
683,3.0,0.0,0.0,1,0,shot - 3,33.0,56.2,573.0,7.0,1117.0,3851.0,698.0
1496,4.0,0.0,1.0,1,0,shot - 3,34.0,3.0,573.0,6.0,1117.0,3851.0,698.0
1497,4.0,0.0,0.0,1,shot - 51,0,30.0,3.0,573.0,6.0,1117.0,3851.0,698.0
26226,3.0,1.0,1.0,1,0,shot - 3,29.0,1.0,573.0,7.0,1117.0,3851.0,698.0
26238,2.0,1.0,0.0,0,0,shot - 3,39.0,9.0,573.0,6.0,1117.0,3851.0,698.0
26239,2.0,1.0,0.0,0,shot - 5,0,28.0,6.0,573.0,6.0,1117.0,3851.0,698.0
26247,3.0,1.0,0.0,0,shot - 43,0,40.0,54.64,573.0,6.0,1117.0,3851.0,698.0
26250,3.0,1.0,0.0,0,0,shot - 3,39.0,0.0,573.0,6.0,1117.0,3851.0,698.0
26251,4.0,1.0,1.0,0,shot - 15,0,38.0,108.64,573.0,6.0,1117.0,3851.0,698.0
14,1.0,0.0,0.0,1,0,shot - 3,29.0,2.0,507.0,7.0,1117.0,3851.0,698.0
733,1.0,0.0,1.0,1,0,shot - 3,33.0,8.0,507.0,10.0,1117.0,3851.0,698.0
736,1.0,0.0,0.0,1,shot - 7,0,34.0,1.0,507.0,10.0,1117.0,3851.0,698.0
741,2.0,0.0,0.0,1,shot - 12,0,41.7,4.0,507.0,10.0,1117.0,3851.0,698.0
823,4.0,0.0,0.0,0,0,shot - 3,34.7,8.0,507.0,7.0,1117.0,3851.0,698.0
41,3.0,0.0,0.0,0,0,shot - 3,47.7,11.0,92.0,7.0,1117.0,3851.0,698.0
