shot_id_number,power_of_shot,knockout_match,game_season,is_goal,home/away,lat/lng,type_of_shot,type_of_combined_shot,match_id,distance_of_shot_avg,remaining_min_1,area_of_shot_Center(C),area_of_shot_Left Side Center(LC),area_of_shot_Left Side(L),area_of_shot_Mid Ground(MG),area_of_shot_Right Side Center(RC),area_of_shot_Right Side(R),area_of_shot_U,shot_basics_Goal Area,shot_basics_Goal Line,shot_basics_Left Corner,shot_basics_Mid Ground Line,shot_basics_Mid Range,shot_basics_Penalty Spot,shot_basics_Right Corner,shot_basics_U
1,1.0,0.0,2000-01,5.0,POR,0,shot - 30,0,20000012,38.0,10.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,1.0,0.0,2000-01,0.0,POR,0,shot - 45,0,20000012,35.0,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,1.0,0.0,2000-01,1.0,POR,0,shot - 25,0,20000012,45.2,92.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1.0,0.0,2000-01,0.0,POR,0,0,shot - 3,20000012,42.0,6.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,2.0,0.0,2000-01,1.0,POR,0,0,shot - 1,20000012,20.0,42.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,3.0,0.0,2000-01,0.0,POR,0,shot - 17,0,20000012,34.0,9.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,3.0,0.0,2000-01,1.0,POR,0,0,shot - 4,20000012,54.7,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,3.0,0.0,2000-01,5.0,POR,0,0,shot - 3,20000012,22.0,68.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,3.0,0.0,2000-01,1.0,POR,0,shot - 36,0,20000012,32.0,6.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,3.0,0.0,2000-01,0.0,POR,0,shot - 44,0,20000012,32.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,3.0,0.0,2000-01,0.0,POR,0,shot - 7,0,20000012,45.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1.0,0.0,2000-01,1.0,UTA,1,0,shot - 3,20000019,26.7,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13,1.0,0.0,2000-01,1.0,UTA,1,shot - 44,0,20000019,32.0,7.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
14,1.0,0.0,2000-01,0.0,UTA,1,0,shot - 3,20000019,29.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15,1.0,0.0,2000-01,0.0,UTA,1,shot - 12,0,20000019,25.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,1.0,0.0,2000-01,0.0,UTA,1,0,shot - 3,20000019,40.0,94.64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,1.0,0.0,2000-01,5.0,UTA,1,0,shot - 4,20000019,20.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18,2.0,0.0,2000-01,1.0,UTA,1,shot - 6,0,20000019,45.0,38.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19,3.0,0.0,2000-01,0.0,UTA,1,0,shot - 3,20000019,71.2,11.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20,3.0,0.0,2000-01,5.0,UTA,1,shot - 4,0,20000019,20.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,3.0,0.0,2000-01,0.0,UTA,1,shot - 20,0,20000019,34.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,3.0,0.0,2000-01,5.0,UTA,1,shot - 24,0,20000019,38.0,9.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,3.0,0.0,2000-01,1.0,UTA,1,shot - 44,0,20000019,31.0,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,3.0,0.0,2000-01,1.0,UTA,1,0,shot - 3,20000019,38.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25,3.0,0.0,2000-01,1.0,UTA,1,0,shot - 3,20000019,27.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,3.0,0.0,2000-01,0.0,UTA,1,0,shot - 4,20000019,20.0,93.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,3.0,0.0,2000-01,0.0,UTA,1,shot - 30,0,20000019,40.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,3.0,0.0,2000-01,0.0,UTA,1,shot - 54,0,20000019,49.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,4.0,0.0,2000-01,0.0,UTA,1,0,shot - 3,20000019,28.7,8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
30,4.0,0.0,2000-01,0.0,UTA,1,shot - 42,0,20000019,28.0,73.64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
